TITLE,1_3-26,
DATA TYPE,ULTRAVIOLET SPECTRUM,
ORIGIN,JASCO,
OWNER,,
DATE,24/03/2026,
TIME,15:44:03,
SPECTROMETER/DATA SYSTEM,,
LOCALE,1040,
RESOLUTION,,
DELTAX,-0.5,
XUNITS,NANOMETERS,
YUNITS,ABSORBANCE,
FIRSTX,1200,
LASTX,200,
NPOINTS,2001,
FIRSTY,0.00937,
MAXY,1.02624,
MINY,0.00937,
XYDATA,,
1020.5,0.0125053,0.016639412
1020,0.0125074,0.016642206
1019.5,0.0125855,0.016746125
1019,0.0125791,0.016737609
1018.5,0.0126157,0.016786309
1018,0.0126301,0.016805469
1017.5,0.0126449,0.016825162
1017,0.0126444,0.016824497
1016.5,0.0126482,0.016829553
1016,0.0126635,0.016849911
1015.5,0.0126833,0.016876257
1015,0.0126725,0.016861886
1014.5,0.0126783,0.016869604
1014,0.0126472,0.016828222
1013.5,0.0126824,0.016875059
1013,0.0126951,0.016891958
1012.5,0.012713,0.016915775
1012,0.012739,0.01695037
1011.5,0.0127222,0.016928016
1011,0.0127033,0.016902868
1010.5,0.0127251,0.016931875
1010,0.0127649,0.016984833
1009.5,0.0127823,0.017007985
1009,0.0128152,0.017051761
1008.5,0.0128235,0.017062805
1008,0.0128569,0.017107247
1007.5,0.0128652,0.017118291
1007,0.0129019,0.017167123
1006.5,0.0128908,0.017152354
1006,0.0129426,0.017221278
1005.5,0.012932,0.017207174
1005,0.0129731,0.017261861
1004.5,0.0129757,0.017265321
1004,0.0130189,0.017322802
1003.5,0.0129722,0.017260664
1003,0.0130387,0.017349148
1002.5,0.0130365,0.017346221
1002,0.0130907,0.017418338
1001.5,0.0131313,0.01747236
1001,0.0131823,0.01754022
1000.5,0.0132141,0.017582533
1000,0.0132373,0.017613403
999.5,0.0132574,0.017640148
999,0.0133351,0.017743534
998.5,0.0133574,0.017773206
998,0.0134557,0.017904003
997.5,0.0134438,0.017888169
997,0.0134957,0.017957227
996.5,0.013499,0.017961618
996,0.013508,0.017973593
995.5,0.0135019,0.017965477
995,0.0136084,0.018107184
994.5,0.0136146,0.018115434
994,0.0136664,0.018184358
993.5,0.0136718,0.018191544
993,0.0137114,0.018244235
992.5,0.0137146,0.018248493
992,0.0137714,0.01832407
991.5,0.013757,0.01830491
991,0.0138086,0.018373568
990.5,0.0138578,0.018439033
990,0.0139253,0.018528848
989.5,0.0139294,0.018534303
989,0.0139525,0.01856504
988.5,0.0139691,0.018587128
988,0.0139999,0.01862811
987.5,0.0140113,0.018643278
987,0.0140137,0.018646472
986.5,0.0140348,0.018674547
986,0.0140546,0.018700893
985.5,0.0140361,0.018676277
985,0.014082,0.018737351
984.5,0.014063,0.01871207
984,0.0141381,0.018811997
983.5,0.0141314,0.018803082
983,0.0141876,0.018877861
982.5,0.014166,0.018849121
982,0.0141586,0.018839274
981.5,0.0141988,0.018892764
981,0.014227,0.018930286
980.5,0.0142726,0.018990961
980,0.0143218,0.019056426
979.5,0.0143375,0.019077317
979,0.0143442,0.019086231
978.5,0.0143683,0.019118299
978,0.0144253,0.019194142
977.5,0.0144196,0.019186558
977,0.0144581,0.019237786
